0.9186,0.8434,0.8793
0.8934,0.8713,0.8822
0.8944,0.8721,0.8831
0.9211,0.8528,0.8855
0.8835,0.8902,0.8869
0.8835,0.8935,0.8885
0.9129,0.8679,0.8897
0.8983,0.8835,0.8908
0.9260,0.8604,0.8919
0.8900,0.8955,0.8928
0.9183,0.8707,0.8938
0.9113,0.8781,0.8944
0.9205,0.8700,0.8945
0.9255,0.8664,0.8950
0.9087,0.8819,0.8951
0.9144,0.8778,0.8957
0.9210,0.8718,0.8957
0.9272,0.8666,0.8958
0.9217,0.8720,0.8962
0.9239,0.8704,0.8963
0.9145,0.8795,0.8966
0.9254,0.8696,0.8966
0.9245,0.8709,0.8968
0.9284,0.8673,0.8968
0.9258,0.8698,0.8969
0.9245,0.8707,0.8968
0.9253,0.8704,0.8970
0.9176,0.8777,0.8972
0.9222,0.8737,0.8973
0.9261,0.8707,0.8975
0.9190,0.8770,0.8975
0.9248,0.8722,0.8977
0.9062,0.8904,0.8983
0.9260,0.8722,0.8983
0.9174,0.8802,0.8984
0.9249,0.8735,0.8984
0.9290,0.8704,0.8987
0.9242,0.8745,0.8987
0.8915,0.9063,0.8989
0.9215,0.8774,0.8989
0.9239,0.8754,0.8990
0.9241,0.8756,0.8992
0.9266,0.8743,0.8997
0.9270,0.8740,0.8997
0.9232,0.8782,0.9001
0.9153,0.8863,0.9006
0.9283,0.8749,0.9008
0.9191,0.8836,0.9010
0.9230,0.8801,0.9010
0.9238,0.8792,0.9010
