0.8792,0.8973,0.8882
0.8824,0.9014,0.8918
0.8819,0.9028,0.8922
0.9238,0.8638,0.8927
0.8866,0.9011,0.8938
0.9020,0.8879,0.8949
0.8989,0.8924,0.8957
0.8940,0.8983,0.8961
0.8827,0.9121,0.8971
0.9042,0.8909,0.8975
0.9014,0.8944,0.8979
0.9108,0.8860,0.8982
0.9128,0.8842,0.8983
0.9001,0.8970,0.8985
0.8928,0.9051,0.8989
0.8949,0.9054,0.9001
0.9008,0.8993,0.9001
0.9129,0.8886,0.9006
0.9041,0.8971,0.9006
0.9042,0.8977,0.9010
0.8982,0.9039,0.9010
0.9063,0.8957,0.9010
0.9079,0.8946,0.9012
0.9071,0.8956,0.9013
0.8991,0.9039,0.9015
0.9108,0.8926,0.9016
0.9135,0.8905,0.9019
0.9147,0.8899,0.9021
0.9242,0.8819,0.9026
0.9142,0.8915,0.9027
0.9153,0.8905,0.9027
0.9081,0.8976,0.9028
0.9241,0.8829,0.9030
0.9175,0.8889,0.9030
0.9169,0.8897,0.9031
0.9108,0.8964,0.9036
0.9104,0.8973,0.9038
0.9106,0.8972,0.9039
0.9121,0.8964,0.9042
0.9176,0.8914,0.9043
0.9028,0.9061,0.9044
0.9138,0.8964,0.9050
0.9194,0.8913,0.9051
0.8986,0.9121,0.9053
0.9161,0.8947,0.9053
0.9168,0.8947,0.9056
0.9162,0.8974,0.9067
0.9162,0.8974,0.9067
0.9149,0.8992,0.9070
0.9180,0.8983,0.9081
