69,49,4,22794,13937,14,15,1324,1576,345,13,4,167,164,143,76,4,555,1832,2394,2,6037 18,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,3,3,3,1,1
541,238,4,2849,10571,8759,81,341,4,608,10572,777,1085,1076,238,4,10573,28,3739,28,10574,77,211,9,896,547,8,925,45,60,35,45,9,62,8,25,33,787,130,22,9,446,45,60,35,8,25,33,310,778,45,60,35,45,9,62,8,25,51,221,2,35,852,2,17,67,848,501,9,556,1503,8,626,45,25,291,184,521,45,60,35,45,9,62,8,25,33,2146,8760,45,25,33,635,521,45,25,283,2503,9,7389,8,244,13938,22,9,626,45,8,25,98,35,2,60,10575,347,32,575 1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8488,13939,41,9,4109,8,35,2072,965,59,1855,397,83,22,9,521,45,60,35,8,25,506,2,826,488,7,2635,22,33 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1855,397,684,22,9,1456,45,60,684,8,25,506,2,826,488,7,2635,22,33 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5122,2201,22,9,2479,45,60,684,8,25,283,138,137,1573,233,7,522,7,4,22795,10,2004,191,2470 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3586,11,44,34 1,1,1,1
1890,1265 1,1
11,396 1,1
11,7565 1,1
11,702 1,1
11,655 1,1
11,756 1,1
11,79 1,1
165,120,57,425 1,4,1,1
458,22796,13940 15,15,1
568,73,22797 1,1,1
1713,4,11,1949,2,1609,2,6460,2,121,228,2,1112,2,2639,1214 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22798 1
186,97,101,124,8488,17,10576 1,1,1,1,1,1,1
11,228 1,1
692,3834,1906,5,22799,7,2107,7386,5934 1,1,1,1,1,1,1,1,1
249,1305,1890,6572 1,1,1,1
11,2138,1184 1,1,1
1890,682 1,1
932,117,9448 1,1,1
11,1002 1,1
7102,4162 1,1
11,430,26,4161 1,1,1,1
351,6693,11,807,28,11,1173 1,1,1,1,1,1,1
11,3665 1,1
1612,98,51,28,11,1277 1,1,1,1,1,1
11,299,2070 1,1,1
520,359,111,22800,2,289,1332,2,574,788,3349,2,3485,2,436,181,1188,733 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22801 1
13,22802,2026 1,1,1
661,75,5436,2496,5,6323,483 1,1,1,1,1,1,1
1130,28,11,733,28,11,2597,28,11,571,3949,330 1,1,1,1,1,1,1,1,1,1,1,1
11,920 1,1
11,1059 1,1
11,2384 1,1
11,846,4340,11,2521,976,245 1,1,1,1,1,1,1
7566,43 1,1
8761 1
7567 1
3586,3954,7568 1,1,1
1268,43 1,1
11,1422 1,1
11,1371 1,1
11,5551 1,1
5552,43,558,28,133,13,11,1003 1,1,1,1,1,1,1,1
11,693 1,1
11,277,22803,43 1,1,1,1
11,571 1,1
22804,350,2,4369,2,3109,2,11,1064 1,1,1,1,1,1,1,1,1
577,22805,148 1,1,1
5347,11,79 1,1,1
22806,8762,4,1364,22807,5934,22808,425,13941,8437,43,878,73 1,1,1,1,1,1,1,1,1,1,1,1,1
7233,679,257,1401,1291,124,42,22809,1115,17,1631,22810 1,1,1,1,1,1,1,1,1,1,1,1
22811,2,770,2,524,2,1060 1,1,1,1,1,1,1
