cad.test.before_dct,53,40,25,13,0,0,0,66
cad.event.before_dct,129,113,50,16,0,0,0,222
diabetes.mention.continuing,354,347,28,7,0,0,0,512
smoker.past,113,97,65,16,0,0,0,148
hypertension.high_bp.during_dct,175,129,133,46,0,0,0,320
hypertension.mention.continuing,364,360,14,4,0,0,0,511
medication.insulin.continuing,127,125,33,2,0,0,0,200
medication.beta_blocker.continuing,269,261,36,8,0,0,0,448
cad.mention.continuing,170,164,34,6,0,0,0,253
medication.aspirin.continuing,256,253,33,3,0,0,0,406
medication.statin.continuing,265,260,27,5,0,0,0,413
medication.ace_inhibitor.continuing,197,187,28,10,0,0,0,305
smoker.never,120,96,36,24,0,0,0,183
hyperlipidemia.mention.continuing,237,220,10,17,0,0,0,331
diabetes.a1c.before_dct,71,33,22,38,0,0,0,69
medication.metformin.continuing,111,111,28,0,0,0,0,172
smoker.current,33,11,4,22,0,0,0,57
cad.symptom.before_dct,38,17,21,21,0,0,0,49
medication.calcium_channel_blocker.continuing,122,116,18,6,0,0,0,177
medication.sulfonylureas.continuing,94,92,8,2,0,0,0,152
cad.test.during_dct,6,2,0,4,0,0,0,13
obese.mention.continuing,79,76,9,3,0,0,0,132
family_hist.present,19,2,4,17,0,0,0,21
medication.nitrate.continuing,81,73,24,8,0,0,0,86
medication.thienopyridine.continuing,88,87,14,1,0,0,0,89
medication.arb.continuing,61,52,6,9,0,0,0,91
medication.diuretic.continuing,69,64,22,5,0,0,0,96
hypertension.high_bp.before_dct,20,1,4,19,0,0,0,39
cad.symptom.during_dct,23,0,6,23,0,0,0,20
diabetes.glucose.before_dct,18,2,9,16,0,0,0,14
cad.event.during_dct,9,1,0,8,0,0,0,19
medication.thiazolidinedione.continuing,19,18,5,1,0,0,0,38
medication.fibrate.continuing,29,25,5,4,0,0,0,20
hyperlipidemia.high_ldl.before_dct,26,1,2,25,0,0,0,16
medication.nitrate.before_dct,10,1,4,9,0,0,0,24
medication.nitrate.during_dct,14,8,2,6,0,0,0,32
medication.metformin.before_dct,14,0,0,14,0,0,0,13
medication.diuretic.before_dct,11,1,3,10,0,0,0,16
medication.beta_blocker.after_dct,9,1,0,8,0,0,0,17
diabetes.a1c.during_dct,11,0,1,11,0,0,0,19
medication.statin.before_dct,9,0,0,9,0,0,0,13
diabetes.glucose.during_dct,15,0,0,15,0,0,0,7
medication.ace_inhibitor.before_dct,12,0,0,12,0,0,0,15
hyperlipidemia.high_chol..before_dct,9,0,0,9,0,0,0,7
smoker.ever,3,0,0,3,0,0,0,9
medication.statin.after_dct,12,0,0,12,0,0,0,17
medication.insulin.after_dct,5,0,0,5,0,0,0,11
medication.ace_inhibitor.after_dct,7,0,0,7,0,0,0,11
medication.thienopyridine.before_dct,9,0,0,9,0,0,0,5
obese.bmi.during_dct,11,1,3,10,0,0,0,10
medication.aspirin.during_dct,17,1,1,16,0,0,0,22
medication.beta_blocker.during_dct,12,0,1,12,0,0,0,16
medication.aspirin.before_dct,7,0,0,7,0,0,0,15
medication.beta_blocker.before_dct,7,0,0,7,0,0,0,14
medication.insulin.during_dct,4,0,0,4,0,0,0,15
cad.mention.during_dct,5,0,0,5,0,0,0,2
medication.metformin.after_dct,7,0,0,7,0,0,0,5
medication.calcium_channel_blocker.before_dct,7,0,0,7,0,0,0,8
medication.aspirin.after_dct,6,0,0,6,0,0,0,16
diabetes.mention.during_dct,2,0,0,2,0,0,0,6
medication.ezetimibe.continuing,11,6,0,5,0,0,0,12
hyperlipidemia.high_ldl.during_dct,3,0,0,3,0,0,0,9
medication.diuretic.after_dct,3,0,0,3,0,0,0,8
medication.nitrate.after_dct,4,0,0,4,0,0,0,4
medication.sulfonylureas.before_dct,4,0,0,4,0,0,0,4
medication.insulin.before_dct,5,0,0,5,0,0,0,3
cad.event.after_dct,1,0,0,1,0,0,0,2
medication.arb.before_dct,6,0,0,6,0,0,0,5
cad.symptom.continuing,3,0,0,3,0,0,0,3
obese.mention.during_dct,8,0,0,8,0,0,0,13
medication.calcium_channel_blocker.after_dct,6,0,0,6,0,0,0,3
medication.ace_inhibitor.during_dct,2,0,0,2,0,0,0,7
medication.niacin.continuing,7,0,0,7,0,0,0,6
medication.thiazolidinedione.before_dct,3,0,0,3,0,0,0,3
hypertension.mention.during_dct,3,0,0,3,0,0,0,2
medication.thienopyridine.after_dct,4,0,0,4,0,0,0,5
