cad.test.before_dct,52,37,15,15,0.711538,0.711538,0.711538
cad.event.before_dct,126,112,58,14,0.888889,0.658824,0.756757
diabetes.mention.continuing,350,345,22,5,0.985714,0.940054,0.962343
smoker.past,112,85,26,27,0.758929,0.765766,0.762332
hypertension.high_bp.during_dct,174,112,55,62,0.643678,0.670659,0.656891
hypertension.mention.continuing,362,355,16,7,0.980663,0.956873,0.968622
medication.insulin.continuing,126,124,24,2,0.984127,0.837838,0.905109
medication.beta_blocker.continuing,268,262,35,6,0.977612,0.882155,0.927434
cad.mention.continuing,166,165,41,1,0.993976,0.800971,0.887097
medication.aspirin.continuing,254,252,25,2,0.992126,0.909747,0.949153
medication.statin.continuing,258,248,28,10,0.961240,0.898551,0.928839
medication.ace_inhibitor.continuing,193,178,27,15,0.922280,0.868293,0.894472
smoker.never,115,94,24,21,0.817391,0.796610,0.806867
hyperlipidemia.mention.continuing,230,220,10,10,0.956522,0.956522,0.956522
diabetes.a1c.before_dct,61,35,9,26,0.573770,0.795455,0.666667
medication.metformin.continuing,111,111,28,0,1.000000,0.798561,0.888000
smoker.current,33,21,31,12,0.636364,0.403846,0.494118
cad.symptom.before_dct,35,8,11,27,0.228571,0.421053,0.296296
medication.calcium_channel_blocker.continuing,121,116,16,5,0.958678,0.878788,0.916996
medication.sulfonylureas.continuing,94,92,7,2,0.978723,0.929293,0.953368
cad.test.during_dct,6,0,0,6,0.000000,-1.000000,0.000000
obese.mention.continuing,78,77,12,1,0.987179,0.865169,0.922156
family_hist.present,17,1,2,16,0.058824,0.333333,0.100000
medication.nitrate.continuing,78,49,13,29,0.628205,0.790323,0.700000
medication.thienopyridine.continuing,88,86,16,2,0.977273,0.843137,0.905263
medication.arb.continuing,60,53,6,7,0.883333,0.898305,0.890756
medication.diuretic.continuing,68,62,22,6,0.911765,0.738095,0.815789
hypertension.high_bp.before_dct,18,1,3,17,0.055556,0.250000,0.090909
cad.symptom.during_dct,22,5,7,17,0.227273,0.416667,0.294118
diabetes.glucose.before_dct,14,2,2,12,0.142857,0.500000,0.222222
cad.event.during_dct,9,1,0,8,0.111111,1.000000,0.200000
medication.thiazolidinedione.continuing,19,18,4,1,0.947368,0.818182,0.878049
medication.fibrate.continuing,29,25,0,4,0.862069,1.000000,0.925926
hyperlipidemia.high_ldl.before_dct,15,0,2,15,0.000000,0.000000,-1.000000
medication.nitrate.before_dct,10,0,2,10,0.000000,0.000000,-1.000000
medication.nitrate.during_dct,12,10,19,2,0.833333,0.344828,0.487805
