cad.test.before_dct,52,51,210,1,0.980769,0.195402,0.325879
cad.event.before_dct,126,103,55,23,0.817460,0.651899,0.725352
diabetes.mention.continuing,350,346,35,4,0.988571,0.908136,0.946648
smoker.past,112,86,32,26,0.767857,0.728814,0.747826
hypertension.high_bp.during_dct,174,101,82,73,0.580460,0.551913,0.565826
hypertension.mention.continuing,362,353,17,9,0.975138,0.954054,0.964481
medication.insulin.continuing,126,123,64,3,0.976190,0.657754,0.785942
medication.beta_blocker.continuing,268,259,43,9,0.966418,0.857616,0.908772
cad.mention.continuing,166,164,42,2,0.987952,0.796117,0.881720
medication.aspirin.continuing,254,249,34,5,0.980315,0.879859,0.927374
medication.statin.continuing,258,249,34,9,0.965116,0.879859,0.920518
medication.ace_inhibitor.continuing,193,175,27,18,0.906736,0.866337,0.886076
smoker.never,115,92,11,23,0.800000,0.893204,0.844037
hyperlipidemia.mention.continuing,230,217,15,13,0.943478,0.935345,0.939394
diabetes.a1c.before_dct,61,40,29,21,0.655738,0.579710,0.615385
medication.metformin.continuing,111,111,26,0,1.000000,0.810219,0.895161
smoker.current,33,18,33,15,0.545455,0.352941,0.428571
cad.symptom.before_dct,35,9,16,26,0.257143,0.360000,0.300000
medication.calcium_channel_blocker.continuing,121,115,18,6,0.950413,0.864662,0.905512
medication.sulfonylureas.continuing,94,88,8,6,0.936170,0.916667,0.926316
cad.test.during_dct,6,0,0,6,0.000000,-1.000000,0.000000
obese.mention.continuing,78,77,16,1,0.987179,0.827957,0.900585
family_hist.present,17,5,13,12,0.294118,0.277778,0.285714
medication.nitrate.continuing,78,69,26,9,0.884615,0.726316,0.797688
medication.thienopyridine.continuing,88,86,16,2,0.977273,0.843137,0.905263
medication.arb.continuing,60,45,6,15,0.750000,0.882353,0.810811
medication.diuretic.continuing,68,62,23,6,0.911765,0.729412,0.810458
hypertension.high_bp.before_dct,18,1,10,17,0.055556,0.090909,0.068966
cad.symptom.during_dct,22,0,0,22,0.000000,-1.000000,0.000000
diabetes.glucose.before_dct,14,0,0,14,0.000000,-1.000000,0.000000
cad.event.during_dct,9,0,0,9,0.000000,-1.000000,0.000000
medication.thiazolidinedione.continuing,19,14,5,5,0.736842,0.736842,0.736842
medication.fibrate.continuing,29,7,1,22,0.241379,0.875000,0.378378
hyperlipidemia.high_ldl.before_dct,15,4,2,11,0.266667,0.666667,0.380952
medication.nitrate.before_dct,10,0,0,10,0.000000,-1.000000,0.000000
medication.nitrate.during_dct,12,0,4,12,0.000000,0.000000,-1.000000
medication.metformin.before_dct,13,0,0,13,0.000000,-1.000000,0.000000
medication.diuretic.before_dct,10,0,0,10,0.000000,-1.000000,0.000000
medication.beta_blocker.after_dct,9,0,0,9,0.000000,-1.000000,0.000000
diabetes.a1c.during_dct,7,1,2,6,0.142857,0.333333,0.200000
medication.statin.before_dct,9,0,0,9,0.000000,-1.000000,0.000000
diabetes.glucose.during_dct,7,0,0,7,0.000000,-1.000000,0.000000
medication.ace_inhibitor.before_dct,12,0,0,12,0.000000,-1.000000,0.000000
hyperlipidemia.high_chol..before_dct,6,0,0,6,0.000000,-1.000000,0.000000
smoker.ever,3,0,0,3,0.000000,-1.000000,0.000000
medication.statin.after_dct,11,0,0,11,0.000000,-1.000000,0.000000
medication.insulin.after_dct,5,0,0,5,0.000000,-1.000000,0.000000
medication.ace_inhibitor.after_dct,6,0,0,6,0.000000,-1.000000,0.000000
medication.thienopyridine.before_dct,8,0,0,8,0.000000,-1.000000,0.000000
obese.bmi.during_dct,9,1,5,8,0.111111,0.166667,0.133333
medication.aspirin.during_dct,15,0,0,15,0.000000,-1.000000,0.000000
medication.beta_blocker.during_dct,12,0,0,12,0.000000,-1.000000,0.000000
