cad.test.before_dct,53,47,39,6,0,0,0,66
cad.event.before_dct,129,110,58,19,0,0,0,222
diabetes.mention.continuing,354,349,28,5,0,0,0,512
smoker.past,113,108,73,5,0,0,0,148
hypertension.high_bp.during_dct,175,154,182,21,0,0,0,320
hypertension.mention.continuing,364,358,12,6,0,0,0,511
medication.insulin.continuing,127,124,31,3,0,0,0,200
medication.beta_blocker.continuing,269,260,36,9,0,0,0,448
cad.mention.continuing,170,165,35,5,0,0,0,253
medication.aspirin.continuing,256,249,22,7,0,0,0,406
medication.statin.continuing,265,257,24,8,0,0,0,413
medication.ace_inhibitor.continuing,197,181,28,16,0,0,0,305
smoker.never,120,94,24,26,0,0,0,183
hyperlipidemia.mention.continuing,237,224,11,13,0,0,0,331
diabetes.a1c.before_dct,71,50,20,21,0,0,0,69
medication.metformin.continuing,111,111,28,0,0,0,0,172
smoker.current,33,13,13,20,0,0,0,57
cad.symptom.before_dct,38,16,21,22,0,0,0,49
medication.calcium_channel_blocker.continuing,122,116,18,6,0,0,0,177
medication.sulfonylureas.continuing,94,92,9,2,0,0,0,152
cad.test.during_dct,6,2,5,4,0,0,0,13
obese.mention.continuing,79,77,13,2,0,0,0,132
family_hist.present,19,4,6,15,0,0,0,21
medication.nitrate.continuing,81,69,20,12,0,0,0,86
medication.thienopyridine.continuing,88,84,16,4,0,0,0,89
medication.arb.continuing,61,53,6,8,0,0,0,91
medication.diuretic.continuing,69,66,23,3,0,0,0,96
hypertension.high_bp.before_dct,20,2,2,18,0,0,0,39
cad.symptom.during_dct,23,5,11,18,0,0,0,20
diabetes.glucose.before_dct,18,1,3,17,0,0,0,14
cad.event.during_dct,9,0,2,9,0,0,0,19
medication.thiazolidinedione.continuing,19,17,5,2,0,0,0,38
medication.fibrate.continuing,29,10,0,19,0,0,0,20
hyperlipidemia.high_ldl.before_dct,26,2,3,24,0,0,0,16
medication.nitrate.before_dct,10,0,0,10,0,0,0,24
medication.nitrate.during_dct,14,8,3,6,0,0,0,32
medication.metformin.before_dct,14,0,0,14,0,0,0,13
medication.diuretic.before_dct,11,0,0,11,0,0,0,16
medication.beta_blocker.after_dct,9,0,0,9,0,0,0,17
diabetes.a1c.during_dct,11,0,3,11,0,0,0,19
medication.statin.before_dct,9,0,0,9,0,0,0,13
diabetes.glucose.during_dct,15,0,0,15,0,0,0,7
medication.ace_inhibitor.before_dct,12,0,0,12,0,0,0,15
hyperlipidemia.high_chol..before_dct,9,0,1,9,0,0,0,7
smoker.ever,3,0,0,3,0,0,0,9
medication.statin.after_dct,12,0,1,12,0,0,0,17
medication.insulin.after_dct,5,0,0,5,0,0,0,11
medication.ace_inhibitor.after_dct,7,0,0,7,0,0,0,11
medication.thienopyridine.before_dct,9,0,0,9,0,0,0,5
obese.bmi.during_dct,11,1,5,10,0,0,0,10
medication.aspirin.during_dct,17,3,2,14,0,0,0,22
medication.beta_blocker.during_dct,12,0,0,12,0,0,0,16
medication.aspirin.before_dct,7,0,0,7,0,0,0,15
medication.beta_blocker.before_dct,7,0,0,7,0,0,0,14
medication.insulin.during_dct,4,0,0,4,0,0,0,15
